"Store 1","9294567890","123 5th Ave","New York","New York","10001","US"
"Store 2","3454567890","234 6th Ave","Los Angeles","California","80001","US"
"Store 3","4564567890","345 7th Ave","San Francisco","California","70001","US"
"Store 4","8374567890","567 8th Ave","Seattle","Washington","60001","US"
"Store 5","8734567890","678 9th Ave","Miami","Florida","50001","US"
"Store 6","1934567890","789 10th Ave","Atlanta","Georgia","40001","US"
"Store 7","9044567890","890 11th Ave","Chicago","Illinois","20001","US"
"Store 8","8584567890","901 12th Ave","Portland","Oregon","30001","US"
"Store 9","2394567890","ABC Sunshine Ave","San Jose","California","80001","US"
"Store 10","6844567890","XYZ Moonlight Ave","San Diego","California","90001","US"
